symbol,interval,ts,open,high,low,close,volume,created_at,updated_at
BTC-USD,1h,2025-11-09 14:00:00.000000 +00:00,102892.0500000000,104033.3700000000,102744.9300000000,103025.0600000000,450.9878585200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 15:00:00.000000 +00:00,103025.0500000000,104200.0000000000,102959.5800000000,103735.4500000000,287.0424546100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 16:00:00.000000 +00:00,103735.4500000000,103892.4800000000,103308.8900000000,103826.6400000000,248.8428526500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 17:00:00.000000 +00:00,103826.3900000000,103952.1900000000,103285.0100000000,103621.5200000000,193.2322889100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 18:00:00.000000 +00:00,103621.5200000000,104566.0000000000,103486.6800000000,104493.8900000000,325.3713691200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 19:00:00.000000 +00:00,104493.8900000000,104800.0000000000,104132.0600000000,104795.0000000000,332.4135975300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 20:00:00.000000 +00:00,104795.0000000000,105037.3900000000,104386.0000000000,104610.0200000000,260.0550405000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 21:00:00.000000 +00:00,104610.0200000000,104836.2900000000,104280.0900000000,104514.6100000000,184.5625339900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 22:00:00.000000 +00:00,104514.6300000000,104800.0000000000,104053.3800000000,104715.9500000000,255.1298789200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 23:00:00.000000 +00:00,104717.3800000000,105471.0400000000,104497.8500000000,104694.9500000000,413.0302404000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 00:00:00.000000 +00:00,104694.2300000000,106540.0000000000,104240.7600000000,106272.5900000000,747.3966866500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 01:00:00.000000 +00:00,106274.3600000000,106653.0000000000,105693.4600000000,105693.4900000000,561.3463767200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 02:00:00.000000 +00:00,105693.4900000000,106040.0000000000,105549.9700000000,105976.9700000000,234.2811781600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 03:00:00.000000 +00:00,105976.9700000000,106272.0400000000,105815.8800000000,106010.6100000000,291.9260639800,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 04:00:00.000000 +00:00,106016.0300000000,106293.0600000000,105828.3300000000,106144.9300000000,225.6309893900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-10 05:00:00.000000 +00:00,106144.9300000000,106460.0000000000,105980.1600000000,106079.6400000000,244.8601061100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
