id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
84,89,BTC,0.00000,{},0.50000,2025-11-14 20:18:20.000000 +00:00,6,0.18570,2025-11-14 20:41:03.410436 +00:00,2025-11-14 20:41:03.410436 +00:00
85,90,BTC,-1.00000,{},0.63000,2025-11-14 20:18:21.000000 +00:00,6,-0.65465,2025-11-14 20:41:03.412514 +00:00,2025-11-14 20:41:03.412514 +00:00
86,91,BTC,-1.00000,{},0.71000,2025-11-14 20:19:24.000000 +00:00,6,-0.44721,2025-11-14 20:41:03.414609 +00:00,2025-11-14 20:41:03.414609 +00:00
87,92,BTC,1.00000,"{hype,regulatory}",0.95000,2025-11-14 20:25:43.000000 +00:00,6,1.96396,2025-11-14 20:41:03.416939 +00:00,2025-11-14 20:41:03.416939 +00:00
88,92,ETH,1.00000,"{hype,regulatory}",0.95000,2025-11-14 20:25:43.000000 +00:00,6,0.92848,2025-11-14 20:41:03.416939 +00:00,2025-11-14 20:41:03.416939 +00:00
89,93,BTC,0.00000,{regulatory},0.40000,2025-11-14 20:26:39.000000 +00:00,6,0.44721,2025-11-14 20:41:03.419490 +00:00,2025-11-14 20:41:03.419490 +00:00
90,96,BTC,-1.00000,{regulatory},0.79000,2025-11-14 20:30:03.000000 +00:00,6,-0.89443,2025-11-14 20:41:03.424849 +00:00,2025-11-14 20:41:03.424849 +00:00
91,97,BTC,-1.00000,{},0.63000,2025-11-14 20:32:17.000000 +00:00,6,-0.65465,2025-11-14 20:41:03.427247 +00:00,2025-11-14 20:41:03.427247 +00:00
92,98,BTC,-1.00000,"{hype,regulatory}",0.79000,2025-11-14 20:35:09.000000 +00:00,6,-0.65465,2025-11-14 20:41:03.429761 +00:00,2025-11-14 20:41:03.429761 +00:00
93,99,BTC,-1.00000,{},0.63000,2025-11-14 20:35:12.000000 +00:00,6,-0.65465,2025-11-14 20:41:03.432045 +00:00,2025-11-14 20:41:03.432045 +00:00
94,99,ETH,-1.00000,{},0.63000,2025-11-14 20:35:12.000000 +00:00,6,-1.29987,2025-11-14 20:41:03.432045 +00:00,2025-11-14 20:41:03.432045 +00:00
95,100,BTC,-1.00000,{regulatory},0.63000,2025-11-14 20:40:11.000000 +00:00,6,-0.44721,2025-11-14 20:41:03.434274 +00:00,2025-11-14 20:41:03.434274 +00:00
